route	sector	lt
ANDIK1G	1	T
ANDIK1N	1	T
ANDIK1R	1	T
ANDIK1S	1	T
ANDIK1T	1	T
ANDIK2E	1	T
ANDIK2X	1	T
ARNEM1G	2	T
ARNEM1N	2	T
ARNEM1P	2	T
ARNEM1R	2	T
ARNEM1S	2	T
ARNEM1T	2	T
ARNEM2E	2	T
ARNEM2X	2	T
ARTIP	ARTIP	L
ARTIP1A	ARTIP	L
ARTIP1C	ARTIP	L
BERGI1G	5	T
BERGI1N	5	T
BERGI1P	5	T
BERGI1R	5	T
BERGI1S	5	T
BERGI1Z	5	T
BERGI2E	5	T
BERGI2W	5	T
BERGI2X	5	T
BERGI3V	5	T
GORLO1N	4	T
GORLO1P	4	T
GORLO1R	4	T
GORLO1Z	4	T
GORLO2W	4	T
GORLO3V	4	T
KUDAD1G	3	T
KUDAD1N	3	T
KUDAD1P	3	T
KUDAD1R	3	T
KUDAD1S	3	T
KUDAD1T	3	T
KUDAD1Z	3	T
KUDAD2E	3	T
KUDAD2V	3	T
KUDAD2W	3	T
KUDAD2X	3	T
PAMPUS1V	2	T
PAMPUS1Z	2	T
PAMPUS2W	2	T
RIVER	RIVER	L
RIVER1A	RIVER	L
RIVER1B	RIVER	L
SPIJKERBOOR1P	1	T
SPIJKERBOOR1S	1	T
SPIJKERBOOR1V	1	T
SPIJKERBOOR2W	1	T
SPIJKERBOOR2X	1	T
SUGOL	SUGOL	L
SUGOL1A	SUGOL	L
SUGOL1B	SUGOL	L
VALKO1G	4	T
VALKO1S	4	T
VALKO2E	4	T
VALKO2X	4	T
AMG2X	5	T
AND1N	1	T
AND1S	1	T
AND1T	1	T
AND2E	1	T
AND2G	1	T
AND2R	1	T
ARN2E	2	T
ARN2N	2	T
ARN2P	2	T
ARN2R	2	T
ARN2S	2	T
ARN2T	2	T
ARN3G	2	T
BER1G	5	T
BER1P	5	T
BER1S	5	T
BER1Z	5	T
BER2E	5	T
BER2N	5	T
BER2R	5	T
BER2W	5	T
BER3V	5	T
BTS3Y	1	T
DNG2X	4	T
ELP2X	2	T
GRL1P	4	T
GRL1Z	4	T
GRL2N	4	T
GRL2R	4	T
GRL2W	4	T
GRL3V	4	T
IVL2W	2	T
LAR1X	3	T
KDD1G	3	T
KDD1N	3	T
KDD1P	3	T
KDD1R	3	T
KDD1S	3	T
KDD1T	3	T
KDD1Z	3	T
KDD2E	3	T
KDD2V	3	T
REN1V	2	T
REN1Z	2	T
NSU1W	1	T
SPY1P	1	T
SPY2K	1	T
SPY2V	1	T
TGA1X	1	T
VAL1G	4	T
VAL1S	4	T
VAL2E	4	T
WDY1W	3	T
ARN1V	2	T
ARN1Z	2	T
ARN3E	2	T
BER1F	5	T
EPO1X	2	T
KDD1F	3	T
LOP1N	3	T
LOP1P	3	T
LOP1R	3	T
LOP1S	3	T
LOP1Z	3	T
LOP2E	3	T
LOP2V	3	T
LOPIK		
REN1E	2	T
REN1G	2	T
REN1N	2	T
REN1P	2	T
REN1R	2	T
REN1S	2	T
REN1T	2	T
NV		
NYK3W	2	T
OGI1W	3	T
RVN1X	3	T
SPL		
VAL3M	4	T
BER3E	5	T
DNG3X	4	T
EPO2X	2	T
KDD3E	3	T
KDD3V	3	T
LOP1G	3	T
LOP2S	3	T
LOP3E	3	T
LOP3V	3	T
OGI2W	3	T
ROS1X	5	T
RVN2X	3	T
VAL3E	4	T
AND2F	1	T
GRL2F	4	T
WIS1X	5	T
ARN2F	2	T
BTS4Y	1	T
DNG4X	4	T
KDD1E	3	T
KDD1V	3	T
LEK1F	3	T
LEK1G	3	T
LEK1N	3	T
LEK1P	3	T
LEK1S	3	T
LEK1T	3	T
LEK1Z	3	T
LEK3E	3	T
LEK3V	3	T
LUN1E	2	T
LUN1T	2	T
LUN1V	2	T
LUN1Z	2	T
REN1F	2	T
SPY3K	1	T
WIS2X	5	T
LUN1N	2	T
LUN1S	2	T
ANDIK	ARTIP	L
CH		
TEBRO		
LUN1P	2	T
SUGOL3B	SUGOL	L
SUGOL2A	SUGOL	L
SUGOL1X	SUGOL	L
RIVER3B	RIVER	L
RIVER2A	RIVER	L
RIVER1X	RIVER	L
ARTIP3B	ARTIP	L
ARTIP2A	ARTIP	L
ARTIP1X	ARTIP	L
SECT1	1	T
SECT2	2	T
SECT3	3	T
SECT4	4	T
SECT5	5	T
DNG5X	4	T
FLEVO	ARTIP	L
IDR1N	4	T
STD	RIVER	L
VAL2S	4	T
VAL4E	4	T
VAL4M	4	T
VOL1P	4	T
VOL1V	4	T
VOL1Z	4	T
